product_category,transactioncount,support_pct
bed_bath_table,9399,9.500
beauty_health,8800,8.800
sports_leisure,7672,7.700
computing_accessories,6654,6.700
furniture_decor,6424,6.500
home_utilities,5847,5.900
watches_gifts,5604,5.600
telephony,4183,4.200
automotive,3873,3.900
toys,3855,3.900
cool_stuff,3617,3.600
tools_garden,3505,3.500
perfumery,3148,3.200
baby,2869,2.900
electronics,2544,2.600
stationery,2299,2.300
fashion_bags_accessories,1858,1.900
pet_shop,1706,1.700
unknown,1437,1.400
office_furniture,1272,1.300
consoles_games,1054,1.100
luggage_accessories,1030,1.000
home_appliances,762,0.800
construction_tools_construction,746,0.800
,611,0.600
small_appliances,622,0.600
musical_instruments,620,0.600
books_general_interest,505,0.500
food,449,0.500
home_construction,489,0.500
home_comfort,397,0.400
audio,349,0.400
living_room_furniture,420,0.400
air_conditioning,251,0.300
technical_books,260,0.300
market_place,279,0.300
drinks,296,0.300
kitchen_service_dining_garden_furniture,246,0.200
arts,201,0.200
construction_tools_garden,192,0.200
construction_tools_lighting,243,0.200
construction_tools_safety,165,0.200
fashion_shoes,238,0.200
food_drinks,225,0.200
home_appliances_2,231,0.200
industry_commerce_business,235,0.200
agribusiness,182,0.200
landline_phones,214,0.200
pcs,181,0.200
fashion_underwear_beachwear,121,0.100
fashion_male_clothing,111,0.100
dvds_blu_ray,57,0.100
tablets_printing_image,79,0.100
portable_home_oven_coffee,75,0.100
construction_tools_tools,97,0.100
cinema_photography,65,0.100
christmas_articles,127,0.100
imported_books,53,0.100
signaling_safety,140,0.100
bedroom_furniture,95,0.100
fashion_children_clothing,8,0.000
diapers_hygiene,26,0.000
cds_dvds_music,12,0.000
la_cuisine,13,0.000
portable_kitchen_food_preparers,13,0.000
home_comfort_2,24,0.000
mattress_upholstered_furniture,38,0.000
music,38,0.000
flowers,29,0.000
party_supplies,39,0.000
pc_gamer,7,0.000
arts_crafts,23,0.000
fashion_sports,27,0.000
insurance_services,2,0.000
fashion_female_clothing,39,0.000
