year,month,order_volume,order_volume_growth,total_sales,sales_growth,new_customers
2017,1,1021,,129680.72,,787
2017,2,2058,1037,259670.19,100.24,1718
2017,3,3176,1118,392114.46,51.00,2617
2017,4,2840,-336,386511.11,-1.43,2377
2017,5,4411,1571,545790.60,41.21,3639
2017,6,3810,-601,453745.48,-16.86,3205
2017,7,4853,1043,529962.86,16.80,3946
2017,8,5193,340,597544.39,12.75,4272
2017,9,5119,-74,661882.60,10.77,4226
2017,10,5590,471,693002.91,4.70,4547
2017,11,9059,3469,1048662.87,51.32,7423
2017,12,6587,-2472,771843.64,-26.40,5620
2018,1,8566,1979,989021.62,28.14,7187
2018,2,7944,-622,881609.62,-10.86,6625
2018,3,8569,625,1027342.30,16.53,7168
2018,4,8254,-315,1028662.85,0.13,6919
2018,5,8204,-50,1029053.49,0.04,6833
2018,6,7378,-826,908194.25,-11.74,6145
2018,7,7302,-76,909914.44,0.19,6233
2018,8,7431,129,878865.39,-3.41,6421
2018,9,1,-7430,145.00,-99.98,1
